t im envp envn
-0.30901 0.10833 0.71536 -0.71536
-0.30651 0.11423 0.71627 -0.71627
-0.30400 0.12011 0.71723 -0.71723
-0.30150 0.12598 0.71824 -0.71824
-0.29900 0.13185 0.71929 -0.71929
-0.29650 0.13771 0.72039 -0.72039
-0.29399 0.14357 0.72153 -0.72153
-0.29149 0.14942 0.72272 -0.72272
-0.28899 0.15527 0.72395 -0.72395
-0.28649 0.16113 0.72523 -0.72523
-0.28399 0.16698 0.72656 -0.72656
-0.28148 0.17284 0.72792 -0.72792
-0.27898 0.17870 0.72934 -0.72934
-0.27648 0.18456 0.73080 -0.73080
-0.27398 0.19043 0.73230 -0.73230
-0.27148 0.19631 0.73385 -0.73385
-0.26897 0.20220 0.73545 -0.73545
-0.26647 0.20810 0.73709 -0.73709
-0.26397 0.21401 0.73878 -0.73878
-0.26147 0.21993 0.74052 -0.74052
-0.25897 0.22587 0.74230 -0.74230
-0.25646 0.23182 0.74414 -0.74414
-0.25396 0.23779 0.74602 -0.74602
-0.25146 0.24377 0.74795 -0.74795
-0.24896 0.24978 0.74993 -0.74993
-0.24646 0.25581 0.75196 -0.75196
-0.24395 0.26185 0.75403 -0.75403
-0.24145 0.26792 0.75616 -0.75616
-0.23895 0.27402 0.75835 -0.75835
-0.23645 0.28014 0.76058 -0.76058
-0.23394 0.28629 0.76287 -0.76287
-0.23144 0.29247 0.76521 -0.76521
-0.22894 0.29868 0.76760 -0.76760
-0.22644 0.30492 0.77005 -0.77005
-0.22394 0.31120 0.77256 -0.77256
-0.22143 0.31751 0.77512 -0.77512
-0.21893 0.32385 0.77774 -0.77774
-0.21643 0.33024 0.78042 -0.78042
-0.21393 0.33666 0.78316 -0.78316
-0.21143 0.34313 0.78596 -0.78596
-0.20892 0.34964 0.78883 -0.78883
-0.20642 0.35619 0.79175 -0.79175
-0.20392 0.36279 0.79474 -0.79474
-0.20142 0.36944 0.79780 -0.79780
-0.19892 0.37614 0.80093 -0.80093
-0.19641 0.38290 0.80412 -0.80412
-0.19391 0.38971 0.80738 -0.80738
-0.19141 0.39657 0.81072 -0.81072
-0.18891 0.40350 0.81413 -0.81413
-0.18641 0.41048 0.81762 -0.81762
-0.18390 0.41753 0.82118 -0.82118
-0.18140 0.42465 0.82482 -0.82482
-0.17890 0.43183 0.82854 -0.82854
-0.17640 0.43909 0.83235 -0.83235
-0.17389 0.44642 0.83624 -0.83624
-0.17139 0.45383 0.84021 -0.84021
-0.16889 0.46131 0.84428 -0.84428
-0.16639 0.46888 0.84844 -0.84844
-0.16389 0.47654 0.85270 -0.85270
-0.16138 0.48428 0.85705 -0.85705
